epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.37899,1.27223,3.45381,1.01059,0.00712,1,0.03088,0.02241,0.84667,3.43001,0.81528,1.667e-05,1.667e-05,1.667e-05
2,8.79257,1.68166,3.47597,1.11309,0.00698,1,0.03364,0.02452,0.87828,3.43449,0.82229,4.80296e-05,4.80296e-05,4.80296e-05
3,10.049,1.36133,3.50817,1.01075,0.00711,1,0.03613,0.02786,0.76122,3.38584,0.82354,7.67487e-05,7.67487e-05,7.67487e-05
4,11.3545,1.07499,3.42269,0.98649,0.0071,1,0.0353,0.0272,0.76771,3.38847,0.82552,0.000102827,0.000102827,0.000102827
5,12.7771,1.26862,3.42287,0.98373,0.00719,1,0.03604,0.03274,0.41231,3.31738,0.78855,0.000126265,0.000126265,0.000126265
6,14.471,0.95157,3.48344,1.00241,0.00801,1,0.04916,0.04916,0.25694,3.32627,0.77605,0.000147063,0.000147063,0.000147063
7,16.3016,0.70829,3.42252,0.90505,0.00825,1,0.05203,0.04464,0.53803,3.33607,0.78491,0.00016522,0.00016522,0.00016522
8,18.3502,0.68984,3.28416,0.86138,0.00883,1,0.05482,0.04541,0.7685,3.34804,0.80343,0.000180736,0.000180736,0.000180736
9,19.8962,0.73598,3.11524,0.91439,0.0091,1,0.05239,0.04342,0.85901,3.30995,0.81253,0.000193612,0.000193612,0.000193612
10,21.4204,0.72676,3.05791,0.907,0.00928,1,0.05349,0.04601,0.77174,3.29788,0.80534,0.000203847,0.000203847,0.000203847
11,22.7806,0.6186,3.01154,0.85184,0.01003,1,0.05497,0.04729,0.64793,3.28588,0.79278,0.000211442,0.000211442,0.000211442
12,24.0564,0.52418,2.95392,0.86259,0.01003,1,0.05497,0.04729,0.64793,3.28588,0.79278,0.000216397,0.000216397,0.000216397
13,25.3809,0.50856,2.90691,0.82467,0.01013,1,0.05811,0.0523,0.53846,3.27184,0.78053,0.00021871,0.00021871,0.00021871
14,26.7776,0.51485,2.76862,0.86916,0.00985,1,0.05772,0.05148,0.48787,3.26686,0.77403,0.000218384,0.000218384,0.000218384
15,28.0042,0.42547,2.66366,0.85761,0.00985,1,0.05772,0.05148,0.48787,3.26686,0.77403,0.000215416,0.000215416,0.000215416
16,29.6551,0.35314,2.51033,0.85489,0.00977,1,0.05686,0.05307,0.42511,3.24816,0.76932,0.000209809,0.000209809,0.000209809
17,31.2187,0.38116,2.47395,0.84266,0.00927,1,0.05103,0.04763,0.38086,3.22725,0.76563,0.00020156,0.00020156,0.00020156
18,33.0748,0.4088,2.22755,0.75047,0.00927,1,0.05103,0.04763,0.38086,3.22725,0.76563,0.000190671,0.000190671,0.000190671
19,34.701,0.43965,2.25427,0.80486,0.00891,1,0.05497,0.05141,0.36772,3.20761,0.7644,0.000177142,0.000177142,0.000177142
20,36.325,0.38168,2.14414,0.75879,0.00891,1,0.05497,0.05141,0.36772,3.20761,0.7644,0.000160972,0.000160972,0.000160972
21,38.0065,0.44613,2.217,0.79845,0.00828,1,0.05455,0.051,0.38647,3.18302,0.76647,0.000142162,0.000142162,0.000142162
22,39.559,0.35174,2.18733,0.82873,0.00828,1,0.05455,0.051,0.38647,3.18302,0.76647,0.000120711,0.000120711,0.000120711
23,41.0737,0.4304,2.03384,0.82376,0.00811,1,0.05728,0.05115,0.3996,3.15611,0.76754,9.66193e-05,9.66193e-05,9.66193e-05
24,42.3666,0.33046,2.22336,0.82069,0.00811,1,0.05728,0.05115,0.3996,3.15611,0.76754,6.98873e-05,6.98873e-05,6.98873e-05
25,43.6253,0.41372,1.8901,0.76969,0.00771,1,0.05272,0.04708,0.39925,3.12851,0.76761,4.05148e-05,4.05148e-05,4.05148e-05
