epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.50785,1.27223,3.45381,1.01059,0.00712,1,0.03088,0.02241,0.84667,3.43001,0.81528,1.667e-05,1.667e-05,1.667e-05
2,9.10362,1.68166,3.47597,1.11309,0.00698,1,0.03364,0.02452,0.87828,3.43449,0.82229,4.9845e-05,4.9845e-05,4.9845e-05
3,10.5774,1.36133,3.50817,1.01075,0.00726,1,0.0366,0.0284,0.75003,3.38308,0.82232,8.27999e-05,8.27999e-05,8.27999e-05
4,11.9883,1.06314,3.42564,0.98208,0.00708,1,0.02799,0.02211,0.75671,3.38787,0.82483,0.000115535,0.000115535,0.000115535
5,13.2889,1.25803,3.42177,0.98154,0.0072,1,0.03652,0.03319,0.36149,3.31431,0.7849,0.00014805,0.00014805,0.00014805
6,14.9062,0.89213,3.46362,0.98366,0.00808,1,0.05007,0.04634,0.35956,3.31716,0.77335,0.000180344,0.000180344,0.000180344
7,16.4007,0.68466,3.39252,0.89832,0.00821,1,0.05136,0.04076,0.72744,3.38492,0.79722,0.000212419,0.000212419,0.000212419
8,17.6891,0.76911,3.23721,0.85828,0.00834,1,0.04177,0.03145,0.93249,3.34285,0.81962,0.000244274,0.000244274,0.000244274
9,19.0699,0.79454,3.04166,0.91021,0.00891,1,0.04398,0.03015,0.82636,3.31484,0.81249,0.000275909,0.000275909,0.000275909
10,20.432,0.68061,2.98217,0.89991,0.00861,1,0.04234,0.03564,0.57956,3.28557,0.78591,0.000307323,0.000307323,0.000307323
11,21.7598,0.63204,2.9169,0.85227,0.00853,1,0.04549,0.03944,0.49073,3.2659,0.77812,0.000338518,0.000338518,0.000338518
12,23.1291,0.5926,2.76151,0.87582,0.00853,1,0.04549,0.03944,0.49073,3.2659,0.77812,0.000369492,0.000369492,0.000369492
13,24.589,0.60406,2.7278,0.83642,0.00786,1,0.04402,0.04113,0.49625,3.24193,0.78387,0.000400247,0.000400247,0.000400247
14,26.1618,0.55946,2.56796,0.86957,0.00714,1,0.03846,0.03304,0.58616,3.24981,0.78995,0.000430781,0.000430781,0.000430781
15,27.8202,0.5316,2.37337,0.86755,0.00714,1,0.03846,0.03304,0.58616,3.24981,0.78995,0.000461096,0.000461096,0.000461096
16,29.532,0.56355,2.23739,0.81413,0.00676,1,0.03811,0.03181,0.66201,3.25397,0.80281,0.00049119,0.00049119,0.00049119
17,30.9727,0.6338,2.38939,0.83118,0.00647,1,0.03373,0.02728,0.62333,3.22168,0.81028,0.000521064,0.000521064,0.000521064
18,32.5207,0.68422,2.06381,0.84558,0.00647,1,0.03373,0.02728,0.62333,3.22168,0.81028,0.000550718,0.000550718,0.000550718
19,34.2428,0.68383,2.21861,0.85001,0.00637,1,0.03523,0.03028,0.51264,3.16609,0.80566,0.000580153,0.000580153,0.000580153
20,36.03,0.6688,1.89507,0.93649,0.00637,1,0.03523,0.03028,0.51264,3.16609,0.80566,0.000609367,0.000609367,0.000609367
21,37.4513,0.60756,1.74802,0.83469,0.00625,1,0.03185,0.02764,0.52433,3.07398,0.80556,0.000638361,0.000638361,0.000638361
22,38.7438,0.69548,1.62959,0.87933,0.00625,1,0.03185,0.02764,0.52433,3.07398,0.80556,0.000667135,0.000667135,0.000667135
23,40.1943,0.56762,1.74913,0.85512,0.0062,1,0.53023,0.4786,0.53461,2.94393,0.79619,0.000695689,0.000695689,0.000695689
24,41.4202,0.62047,1.51408,0.81243,0.0062,1,0.53023,0.4786,0.53461,2.94393,0.79619,0.000724023,0.000724023,0.000724023
25,42.8269,0.50599,1.26798,0.9135,0.00638,1,0.995,0.89025,0.51035,2.7595,0.78889,0.000752137,0.000752137,0.000752137
26,44.3146,0.56724,1.46604,0.81283,0.00638,1,0.995,0.89025,0.51035,2.7595,0.78889,0.000780031,0.000780031,0.000780031
27,45.8247,0.49074,1.36411,0.84738,0.00638,1,0.995,0.89025,0.51035,2.7595,0.78889,0.000807705,0.000807705,0.000807705
28,47.1048,0.67542,1.33729,0.83963,0.8348,0.5,0.995,0.90108,0.57337,2.49739,0.79621,0.000835159,0.000835159,0.000835159
29,48.3646,0.61353,0.92681,0.81223,0.8348,0.5,0.995,0.90108,0.57337,2.49739,0.79621,0.000862392,0.000862392,0.000862392
30,49.8519,0.58832,1.16461,0.84212,0.78728,0.5,0.995,0.82933,0.67204,2.27441,0.80982,0.000889406,0.000889406,0.000889406
31,51.3407,0.59154,1.0464,0.84218,0.78728,0.5,0.995,0.82933,0.67204,2.27441,0.80982,0.0009162,0.0009162,0.0009162
32,52.6764,0.62793,1.02381,0.88072,0.78728,0.5,0.995,0.82933,0.67204,2.27441,0.80982,0.000942774,0.000942774,0.000942774
33,54.1465,0.78472,1.06086,0.85444,0.79057,0.76377,0.995,0.91225,0.65726,2.154,0.80177,0.000969127,0.000969127,0.000969127
34,55.5123,0.6128,1.0156,0.91133,0.79057,0.76377,0.995,0.91225,0.65726,2.154,0.80177,0.000995261,0.000995261,0.000995261
35,56.9894,0.62404,0.87065,0.88331,0.79057,0.76377,0.995,0.91225,0.65726,2.154,0.80177,0.00102117,0.00102117,0.00102117
